ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_1687	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1
Seq_1699	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Unclassified
Seq_1703	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_1704	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter
Seq_1705	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Seq_1712	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1714	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Unclassified	Unclassified
Seq_1717	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	Unclassified
Seq_1722	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
Seq_1723	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Unclassified
Seq_1724	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	Unclassified
Seq_1728	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	Unclassified
Seq_1731	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	Unclassified
Seq_1734	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Unclassified
Seq_1735	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Seq_1736	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	Unclassified
Seq_1740	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Seq_1741	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
Seq_1747	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
Seq_1749	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_1751	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cesiribacter
Seq_1755	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
