ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_4477	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unclassified
Seq_4478	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	Unclassified
Seq_4479	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas
Seq_4480	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Desertibacter
Seq_4481	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Seq_4482	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
Seq_4483	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella
Seq_4484	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Unclassified
Seq_4485	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unclassified
Seq_4486	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
Seq_4487	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Seq_4488	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Unclassified
Seq_4489	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus
Seq_4490	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_4491	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_4492	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Tepidiphilus
Seq_4493	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium
Seq_4494	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera
Seq_4495	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055
Seq_4496	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
Seq_4497	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
Seq_4498	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified
Seq_4499	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus
Seq_4500	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_4501	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00
Seq_4502	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium
Seq_4503	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga
Seq_4504	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Unclassified
Seq_4505	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cesiribacter
Seq_4506	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_4507	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_4508	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
Seq_4509	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter
Seq_4510	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus
Seq_4511	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	GTL1
Seq_4512	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_4513	Bacteria	Desulfobacterota	Desulfuromonadia	Geoalkalibacteraceae	Geoalkalibacter	Unclassified
Seq_4514	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_4515	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
Seq_4516	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Unclassified
Seq_4517	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter
Seq_4518	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group
Seq_4519	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella
Seq_4520	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Seq_4521	Bacteria	Actinobacteriota	Acidimicrobiia	Unclassified	Unclassified	Unclassified
Seq_4522	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Unclassified
Seq_4523	Archaea	Halobacterota	Halobacteria	Halobacterales	Haloferacaceae	Halobaculum
Seq_4524	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus
Seq_4525	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_4526	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera
Seq_4527	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_4528	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
Seq_4529	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
Seq_4530	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
Seq_4531	Bacteria	Firmicutes	Bacilli	Caldalkalibacillales	Caldalkalibacillaceae	Caldalkalibacillus
Seq_4532	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera
Seq_4533	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Tepidiphilus
Seq_4534	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	PMMR1
Seq_4535	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
Seq_4536	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
Seq_4537	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_4538	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Unclassified
Seq_4539	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Seq_4540	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Unclassified
Seq_4541	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unclassified
Seq_4542	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter
Seq_4543	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
